"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01001499999","2025-01-01T14:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","350,1,N,0072,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0050,1","99999,9",,,,,,,,"09910,1,99999,9",,,,,"MET047METAR ENSO 011450Z 35014KT CAVOK M02/M05 Q0991=",
"01001499999","2025-01-01T15:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","010,1,N,0041,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0060,1","99999,9",,,,,,,,"09910,1,99999,9",,,,,"MET047METAR ENSO 011520Z 01008KT CAVOK M02/M06 Q0991=",
"01001499999","2025-01-01T15:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","010,1,N,0031,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0070,1","99999,9",,,,,,,,"09910,1,99999,9",,,,,"MET047METAR ENSO 011550Z 01006KT CAVOK M02/M07 Q0991=",
"01001499999","2025-01-01T16:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","010,1,N,0057,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0060,1","99999,9",,,,,,,,"09920,1,99999,9",,,,,"MET047METAR ENSO 011620Z 01011KT CAVOK M02/M06 Q0992=",
"01001499999","2025-01-01T16:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","010,1,N,0051,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0070,1","99999,9",,,,,,,,"09930,1,99999,9",,,,,"MET047METAR ENSO 011650Z 01010KT CAVOK M02/M07 Q0993=",
"01001499999","2025-01-01T17:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","010,1,N,0041,1","99999,9,9,Y","009900,5,9,9","-0020,1","-0070,1","99999,9",,,,,,,,"09940,1,99999,9",,,,,"MET047METAR ENSO 011750Z 01008KT CAVOK M02/M07 Q0994=",
"01001499999","2025-01-01T18:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","010,1,N,0041,1","99999,9,9,Y","009900,5,9,9","-0030,1","-0070,1","99999,9",,,,,,,,"09950,1,99999,9",,,,,"MET047METAR ENSO 011820Z 01008KT CAVOK M03/M07 Q0995=",
"01001499999","2025-01-02T04:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","020,1,N,0010,1","00610,1,C,N","009999,1,9,9","-0030,1","-0080,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10020,1,99999,9","85,1",,,,"MET066METAR ENSO 020450Z 02002KT 9999 -SHSN FEW010 SCT020 M03/M08 Q1002=",
"01001499999","2025-01-02T05:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","020,1,N,0010,1","00762,1,9,N","008000,1,9,9","-0030,1","-0060,1","99999,9",,"02,1,+00305,1,99,9","07,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10020,1,99999,9","85,1",,,,"MET066METAR ENSO 020520Z 02002KT 8000 -SHSN FEW010 BKN025 M03/M06 Q1002=",
"01001499999","2025-01-02T05:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN STORD, NO","FM-15","99999","V020","020,1,N,0021,1","00762,1,9,N","006000,1,9,9","-0030,1","-0050,1","99999,9",,"02,1,+00305,1,99,9","07,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10020,1,99999,9","86,1",,,,"MET065METAR ENSO 020550Z 02004KT 6000 SHSN FEW010 BKN025 M03/M05 Q1002=",
