"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","OD1","OD2","REM","EQD"
"01089099999","2025-01-01T00:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","210,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0043,1","-0053,1","09886,1",,,,,,,,,"120,M,-0043,1","120,N,-0049,1","99999,9,09779,1","8,1,002,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /2105 11043 21053 39779 49886 58002 333 11043 21049 90710 91106=",
"01089099999","2025-01-01T00:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","230,1,N,0041,1","01311,1,9,N","009999,1,9,9","-0040,1","-0050,1","99999,9",,,,"04,1,+00427,1,99,9","08,1,+01311,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00427,1,99,9,99,9",,,"09870,1,99999,9",,,,,,,"MET094METAR ENKR 010020Z AUTO 23008KT 9999 SCT014/// OVC043/// M04/M05 Q0987 RMK WIND 731FT 26008KT=",
"01089099999","2025-01-01T00:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","250,1,N,0031,1","00579,1,9,N","009999,1,9,9","-0040,1","-0050,1","99999,9","71,1",,,"02,1,+00366,1,99,9","07,1,+00579,1,99,9","07,1,+00823,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9",,,"09870,1,99999,9",,,,,,,"MET108METAR ENKR 010050Z AUTO 25006KT 9999 -SN FEW012/// BKN019/// BKN027/// M04/M05 Q0987 RMK WIND 731FT 24005KT=",
"01089099999","2025-01-01T01:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","200,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0041,1","-0051,1","09881,1",,,,,,,,,"240,M,-0041,1","240,N,-0044,1","99999,9,09774,1","8,1,007,1,+999,9",,,,"3,99,0070,1,999",,"SYN07601089 46/// /2004 11041 21051 39774 49881 58007 333 11041 21044 90710 91107=",
"01089099999","2025-01-01T01:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","240,1,N,0041,1","00549,1,C,N","009999,1,9,9","-0040,1","-0050,1","99999,9","71,1",,,"02,1,+00427,1,99,9","04,1,+00549,1,99,9","07,1,+00762,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9",,,"09870,1,99999,9",,,,,,,"MET108METAR ENKR 010120Z AUTO 24008KT 9999 -SN FEW014/// SCT018/// BKN025/// M04/M05 Q0987 RMK WIND 731FT 25008KT=",
"01089099999","2025-01-01T01:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","240,1,N,0036,1","99999,9,9,N","005000,1,9,9","-0040,1","-0050,1","99999,9","71,1",,,,,,,,,,"09860,1,99999,9",,,,,,,"MET088METAR ENKR 010150Z AUTO 24007KT 5000 -SN ///030/// M04/M05 Q0986 RMK WIND 731FT 26008KT=",
"01089099999","2025-01-01T02:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","210,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0042,1","-0052,1","09876,1",,,,,,,,,"240,M,-0041,1","240,N,-0043,1","99999,9,09769,1","8,1,012,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /2104 11042 21052 39769 49876 58012 333 11041 21043 90710 91106=",
"01089099999","2025-01-01T02:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","250,1,N,0015,1","99999,9,9,N","002200,1,9,9","-0040,1","-0050,1","99999,9","71,1",,,,,,,,,,"09860,1,99999,9",,,,,,,"MET088METAR ENKR 010220Z AUTO 25003KT 2200 -SN ///030/// M04/M05 Q0986 RMK WIND 731FT 25003KT=",
"01089099999","2025-01-01T02:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","250,1,N,0026,1","00579,1,C,N","009999,1,9,9","-0040,1","-0050,1","99999,9","71,1",,,"02,1,+00396,1,99,9","04,1,+00579,1,99,9","07,1,+00732,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9",,,"09860,1,99999,9",,,,,,,"MET108METAR ENKR 010250Z AUTO 25005KT 9999 -SN FEW013/// SCT019/// BKN024/// M04/M05 Q0986 RMK WIND 731FT 26007KT=",
"01089099999","2025-01-01T03:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","210,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0042,1","-0050,1","09870,1",,,,,,,,,"240,M,-0040,1","240,N,-0043,1","99999,9,09764,1","7,1,014,1,+999,9",,,,"3,99,0050,1,999",,"SYN07601089 46/// /2103 11042 21050 39764 49870 57014 333 11040 21043 90710 91105=",
